id,tier,label,speaker,original_fact_message_id,update_text,question,gold_answer,author_notes
S3-01,easy,close,,,,,,
S3-02,easy,close,,,,,,
S3-03,easy,close,,,,,,
S3-04,easy,close,,,,,,
S3-05,easy,close,,,,,,
S3-06,easy,close,,,,,,
S3-07,easy,close,,,,,,
S3-08,easy,close,,,,,,
S3-09,easy,close,,,,,,
S3-10,easy,close,,,,,,
S3-11,subtle,no_close,,,,,,
S3-12,subtle,no_close,,,,,,
S3-13,subtle,no_close,,,,,,
S3-14,subtle,no_close,,,,,,
S3-15,subtle,no_close,,,,,,
S3-16,subtle,no_close,,,,,,
S3-17,subtle,no_close,,,,,,
S3-18,subtle,no_close,,,,,,
S3-19,subtle,no_close,,,,,,
S3-20,subtle,no_close,,,,,,
S3-21,fulfilled,close_fulfilled,,,,,,
S3-22,fulfilled,close_fulfilled,,,,,,
S3-23,fulfilled,close_fulfilled,,,,,,
S3-24,fulfilled,close_fulfilled,,,,,,
S3-25,fulfilled,close_fulfilled,,,,,,
S3-26,,close,,,,,,
S3-27,,close,,,,,,
S3-28,,close,,,,,,
S3-29,,close,,,,,,
S3-30,,close,,,,,,
