row_id,question,gold_answer,answer,your_grade (CORRECT or WRONG),notes
R001,"When did James, Samantha and John go to the baseball game together?","September 11, 2022","September 11, 2022.",,
R002,When did Calvin and Frank Ocean start collaborating?,August 2022,August 2022,,
R003,Which activity did Sam resume in December 2023 after a long time?,hiking,Hiking trip with friends.,,
R004,"What did Jolene ask Deb to help with on 13 March, 2023?",time management,Time management with engineering assignments.,,
R005,What style of guitars does Calvin own?,"custom-made yellow guitar with an octopus on it, shiny purple guitar",Custom guitars with unique designs.,,
R006,Which classes did Evan join in mid-August 2023?,painting classes,No specific classes mentioned.,,
R007,How does Calvin balance his job and personal life?,Takes it one day at a time,Staying connected and inspired.,,
R008,Which new activity does Sam take up in October 2023?,kayaking,Going to the gym.,,
R009,What did Audrey do in November 2023 to better take care of her dogs?,Joined a dog owners group,Took them to the pet salon.,,
R010,When did Deborah go to a community meetup?,last week of August 2023,"August 30, 2023",,
R011,How does Calvin describe his process of adding electronic elements to his songs?,gives them a fresh vibe,Gives them a fresh vibe.,,
R012,Have Deborah and Jolene been to Rio de Janeiro?,yes,Only Jolene has been.,,
R013,What were Deborah's mother's hobbies?,"reading, traveling, art, cooking","Art, flowers, and cooking.",,
R014,Where was Dave in the last two weeks of August 2023?,San Francisco,No specific location mentioned.,,
R015,"Considering their conversations and personal growth, what advice might Evan and Sam give to someone facing a major life transition or challenge?","Evan and Sam would likely advise embracing small, consistent changes​​, finding stress-relieving activities like hiking​​, painting, and road trips​​, and the importance of friendship and support in navigating challenges​​.",Take it one step at a time.,,
R016,When did John first organize a charity tournament with his friends?,"May 7, 2022","October 30, 2022.",,
R017,Who is Jill?,Most likely John's partner.,John's partner.,,
R018,What was James' big moment with Samantha in October 2023?,They decided to live together and rented an apartment not far from McGee's bar.,No big moment recorded.,,
R019,What is the name of John's cousin's dog?,Luna,Ned,,
R020,Which games have Jolene and her partner played together?,"Detroit, Walking Dead, Battlefield 1, It Takes Two, Overcooked 2","Detroit, It Takes Two",,
R021,What did John suggest James practice before playing FIFA 23 together?,Control with a gamepad and timing,Practice a little first.,,
R022,"What instrument is John learning to play as of 27 March, 2022?",Drums,The memories do not specify the instrument John is learning.,,
R023,What did Evan offer to share with Sam after talking about healthy snacks?,the recipes for cookies,Cookie recipes.,,
R024,What inspired Calvin's recent music?,Struggles that people go through,Support from fans and collaboration.,,
R025,"Where was James at on July 12, 2022?","Toronto, Canada",James was planning to return on July 20.,,
R026,What places give Deborah peace?,"sitting in a spot by the window in her Mom's house, sitting by the beach, Bali, forest trail in a nearby park",A spot by the water and her old home.,,
R027,Did Audrey and Andrew grow up with a pet dog?,Yes,"Yes, Audrey had a childhood dog.",,
R028,Which pet did Jolene adopt more recently - Susie or Seraphim?,Seraphim,Seraphim.,,
R029,When did Calvin meet with the creative team for his new album?,"8 June, 2023","June 8, 2023",,
R030,Which hobby did Dave pick up in October 2023?,photography,Photography,,
R031,What places give Deborah peace?,"sitting in a spot by the window in her Mom's house, sitting by the beach, Bali, forest trail in a nearby park","Park near her house, old home, garden.",,
R032,What are the names of James's dogs?,"Ned, Daisy, Max",Max and Daisy.,,
R033,What ways do Deborah and Jolene use to enhance their yoga practice?,"candles, music, essential oils",New routines and music.,,
R034,When did Andrew and his girlfriend go fishing?,"weekend before August 24, 2023",August 2023,,
R035,What is the toughest part of car restoration according to Dave?,Paying extra attention to detail,Paying extra attention to detail.,,
R036,What are some problems that Andrew faces before he adopted Toby?,Finding the right dog and pet-friendly apartments close to open spaces,Finding dog-friendly rental spots.,,
R037,Which events in Dave's life inspired him to take up auto engineering?,"attending a car show with Dad, working on an old car in a neighbor's garage when he was young, spent a summer restoring an old car with Dad",Fixing an old car at ten.,,
R038,When did Deborah go to a community meetup?,last week of August 2023,"September 1, 2023.",,
R039,What type of music has Dave been getting into lately?,Classic rock,Classic rock.,,
R040,What do Deborah and Jolene plan to try when they meet in a new cafe?,coffee and fresh pastries,Discuss strategies and play a card game.,,
R041,What is the name of the board game John tried in September 2022?,Dungeons of the Dragon,The name is not mentioned.,,
R042,What gifts has Deborah received?,"an appreciate letter from her community, a flower bouqet from her friend, a motivational quote from a friend",A bouquet and a pendant.,,
R043,Which year did Evan start taking care of his health seriously?,2021,2021,,
R044,What shared activities do Dave and Calvin have?,Working on cars,Jam sessions and music projects.,,
R045,What items did Calvin buy in March 2023?,"mansion in Japan, luxury car Ferrari 488 GTB",A new luxury car.,,
R046,What are the names of James's dogs?,"Ned, Daisy, Max","Max, Daisy, Ned",,
R047,What items did Calvin buy in March 2023?,"mansion in Japan, luxury car Ferrari 488 GTB",New car and mansion.,,
R048,"What did Calvin recently get that is a ""masterpiece on wheels""?",Ferrari,A new Ferrari.,,
R049,Will there be an interview required to volunteer with the organization James volunteered for?,No,"Yes, an interview may be required.",,
R050,"What cool stuff did Jolene accomplish at the retreat on 9 February, 2023?",Came up with neat solutions for her engineering project,Significant progress on her engineering project.,,
R051,What games does Jolene recommend for Deborah?,"Zelda BOTW for Switch , Animal Crossing: New Horizons, Overcooked 2","Zelda BOTW, Animal Crossing.",,
R052,"What was Sam doing on December 4, 2023?",Attending a Weight Watchers meeting,No information available for that date.,,
R053,"What project was Jolene working on as of 1 February, 2023?",Robotics project,Electrical engineering project.,,
R054,What new item did Dave buy recently?,A vintage camera,No information about Dave's recent purchase.,,
R055,What activity helped Evan with stress and flexibility?,Yoga,Yoga,,
R056,Which pet did Jolene adopt first - Susie or Seraphim?,Susie,Seraphim.,,
R057,When did Evan and Sam decide to paint together?,"Saturday after 11 September, 2023.","September 16, 2023",,
R058,What did Audrey do in November 2023 to better take care of her dogs?,Joined a dog owners group,Joined a dog owners group.,,
R059,Why did Evan decide to get the bonsai tree?,motivates him to keep going through tough times,The memories do not provide information about why Evan decided to get the bonsai tree.,,
R060,What outdoor activity did Jolene suggest doing together with Deborah?,Surfing,Surfing,,
R061,Why does Deborah take her cats out for a run in the park every day?,Exercise and nature are important to her,For exercise and nature.,,
R062,Where was Dave in the last two weeks of August 2023?,San Francisco,Dave was in San Francisco.,,
R063,What kind of stress was Sam dealing with in October 2023?,work-related stress,Health-related stress and guilt.,,
R064,Which new games did John start play during the course of the conversation with James?,"AC Valhalla, Witcher 3, FIFA 23, Dungeons of the Dragons, futuristic dystopian game",Board games and AC Valhalla.,,
R065,What did Evan start painting years ago due to being inspired by a friend's gift?,forest scene,Evan started painting landscapes.,,
R066,When did Audrey get into an accident in the park?,"between October 19 and 24, 2023","Around October 17-23, 2023.",,
R067,What is Max good at doing according to James?,catching frisbees in mid-air,Catching frisbees in mid-air.,,
R068,Did John and James study together?,Yes,No evidence of studying together.,,
R069,What inspired James to create his game?,Witcher 3,Witcher 3's amazing world and story.,,
R070,Which places or events have John and James planned to meet at?,"VR Club, McGee's, baseball game",McGee's Pub,,
R071,When did James and his family visit Mark and Josh?,"November 7, 2022","November 7, 2022.",,
R072,What does help Calvin stay connected to the creative process?,Calvin stays connected to the creative process by always staying up-to-date on world events and watching documentaries about artists.,Watching music videos and documentaries.,,
R073,What kind of dream did James have recently?,a dream with a medieval castle full of puzzles and traps,A medieval castle with puzzles.,,
R074,What kind of places have Andrew and his girlfriend checked out around the city?,"cafes, new places to eat, open space for hikes, pet shelter, wine tasting event, park",Cafes with amazing pastries.,,
R075,When did Evan and Sam decide to paint together?,"Saturday after 11 September, 2023.","September 11, 2023",,
