row_id,conversation,question_index,category,system,gpt-4o-mini_judge_label
R001,conv-47,48,2,engram v2 k=3,CORRECT
R002,conv-50,51,2,T0R k=6,CORRECT
R003,conv-49,72,1,engram v2 k=3,CORRECT
R004,conv-48,121,4,engram v2 k=3,CORRECT
R005,conv-50,63,1,engram v2 k=3,CORRECT
R006,conv-49,41,2,T0R k=6,WRONG
R007,conv-50,130,4,T0R k=6,WRONG
R008,conv-49,60,2,T0R k=6,WRONG
R009,conv-44,117,4,engram v2 k=3,WRONG
R010,conv-48,71,2,T0R k=6,CORRECT
R011,conv-50,90,4,T0R k=6,CORRECT
R012,conv-48,97,4,engram v2 k=3,WRONG
R013,conv-48,14,1,engram v2 k=3,CORRECT
R014,conv-50,31,2,T0R k=6,WRONG
R015,conv-49,19,3,engram v2 k=3,CORRECT
R016,conv-47,21,2,T0R k=6,WRONG
R017,conv-47,36,3,engram v2 k=3,CORRECT
R018,conv-47,61,2,engram v2 k=3,WRONG
R019,conv-47,149,4,T0R k=6,WRONG
R020,conv-48,20,1,engram v2 k=3,WRONG
R021,conv-47,147,4,T0R k=6,WRONG
R022,conv-47,72,4,T0R k=6,WRONG
R023,conv-49,145,4,engram v2 k=3,CORRECT
R024,conv-50,131,4,engram v2 k=3,WRONG
R025,conv-47,32,2,T0R k=6,WRONG
R026,conv-48,13,1,engram v2 k=3,CORRECT
R027,conv-44,24,1,engram v2 k=3,CORRECT
R028,conv-48,55,2,T0R k=6,CORRECT
R029,conv-50,14,2,T0R k=6,CORRECT
R030,conv-50,57,2,T0R k=6,CORRECT
R031,conv-48,13,1,T0R k=6,WRONG
R032,conv-47,9,1,engram v2 k=3,WRONG
R033,conv-48,41,1,engram v2 k=3,WRONG
R034,conv-44,25,2,T0R k=6,CORRECT
R035,conv-50,134,4,engram v2 k=3,CORRECT
R036,conv-44,23,1,T0R k=6,CORRECT
R037,conv-50,58,1,T0R k=6,CORRECT
R038,conv-48,71,2,engram v2 k=3,WRONG
R039,conv-50,146,4,T0R k=6,CORRECT
R040,conv-48,74,4,engram v2 k=3,WRONG
R041,conv-47,126,4,T0R k=6,WRONG
R042,conv-48,86,1,engram v2 k=3,WRONG
R043,conv-49,25,2,T0R k=6,CORRECT
R044,conv-50,45,1,T0R k=6,WRONG
R045,conv-50,1,1,engram v2 k=3,WRONG
R046,conv-47,9,1,T0R k=6,CORRECT
R047,conv-50,1,1,T0R k=6,CORRECT
R048,conv-50,121,4,T0R k=6,CORRECT
R049,conv-47,100,4,T0R k=6,WRONG
R050,conv-48,109,4,engram v2 k=3,CORRECT
R051,conv-48,58,4,T0R k=6,CORRECT
R052,conv-49,68,2,T0R k=6,WRONG
R053,conv-48,102,4,engram v2 k=3,WRONG
R054,conv-50,152,4,T0R k=6,WRONG
R055,conv-49,152,4,T0R k=6,CORRECT
R056,conv-48,54,2,T0R k=6,WRONG
R057,conv-49,53,2,engram v2 k=3,WRONG
R058,conv-44,117,4,T0R k=6,CORRECT
R059,conv-49,97,4,engram v2 k=3,WRONG
R060,conv-48,188,4,engram v2 k=3,CORRECT
R061,conv-48,143,4,engram v2 k=3,CORRECT
R062,conv-50,31,2,engram v2 k=3,CORRECT
R063,conv-49,61,2,engram v2 k=3,WRONG
R064,conv-47,51,1,T0R k=6,CORRECT
R065,conv-49,106,4,T0R k=6,CORRECT
R066,conv-44,37,2,engram v2 k=3,CORRECT
R067,conv-47,98,4,T0R k=6,CORRECT
R068,conv-47,33,3,engram v2 k=3,WRONG
R069,conv-47,138,4,T0R k=6,CORRECT
R070,conv-47,2,1,engram v2 k=3,CORRECT
R071,conv-47,65,2,engram v2 k=3,CORRECT
R072,conv-50,54,1,T0R k=6,CORRECT
R073,conv-47,128,4,engram v2 k=3,CORRECT
R074,conv-44,3,1,engram v2 k=3,WRONG
R075,conv-49,53,2,T0R k=6,CORRECT
R076,conv-49,45,2,T0R k=6,CORRECT
R077,conv-50,130,4,engram v2 k=3,CORRECT
R078,conv-48,79,1,T0R k=6,CORRECT
R079,conv-44,99,4,T0R k=6,WRONG
R080,conv-47,66,2,engram v2 k=3,CORRECT
R081,conv-50,133,4,T0R k=6,CORRECT
R082,conv-48,38,2,engram v2 k=3,CORRECT
R083,conv-49,50,1,engram v2 k=3,WRONG
R084,conv-49,90,4,T0R k=6,CORRECT
R085,conv-48,74,4,T0R k=6,CORRECT
R086,conv-50,127,4,engram v2 k=3,WRONG
R087,conv-47,81,4,T0R k=6,CORRECT
R088,conv-49,36,1,engram v2 k=3,CORRECT
R089,conv-47,25,3,engram v2 k=3,CORRECT
R090,conv-49,32,1,T0R k=6,WRONG
R091,conv-49,112,4,T0R k=6,WRONG
R092,conv-50,127,4,T0R k=6,CORRECT
R093,conv-47,138,4,engram v2 k=3,WRONG
R094,conv-48,143,4,T0R k=6,WRONG
R095,conv-47,97,4,T0R k=6,WRONG
R096,conv-44,18,1,engram v2 k=3,CORRECT
R097,conv-47,51,1,engram v2 k=3,WRONG
R098,conv-47,65,2,T0R k=6,WRONG
R099,conv-50,90,4,engram v2 k=3,WRONG
R100,conv-48,86,1,T0R k=6,CORRECT
R101,conv-49,36,1,T0R k=6,WRONG
R102,conv-47,25,3,T0R k=6,WRONG
R103,conv-49,47,2,engram v2 k=3,CORRECT
R104,conv-47,123,4,T0R k=6,WRONG
R105,conv-49,47,2,T0R k=6,WRONG
R106,conv-44,74,4,T0R k=6,CORRECT
R107,conv-50,58,1,engram v2 k=3,WRONG
R108,conv-49,50,1,T0R k=6,CORRECT
R109,conv-48,46,2,T0R k=6,WRONG
R110,conv-44,24,1,T0R k=6,WRONG
R111,conv-47,98,4,engram v2 k=3,WRONG
R112,conv-47,37,2,T0R k=6,CORRECT
R113,conv-49,25,2,engram v2 k=3,WRONG
R114,conv-49,112,4,engram v2 k=3,CORRECT
R115,conv-47,128,4,T0R k=6,WRONG
R116,conv-44,21,1,engram v2 k=3,WRONG
R117,conv-50,146,4,engram v2 k=3,WRONG
R118,conv-47,149,4,engram v2 k=3,CORRECT
R119,conv-44,72,4,T0R k=6,CORRECT
R120,conv-49,68,2,engram v2 k=3,CORRECT
R121,conv-50,141,4,engram v2 k=3,CORRECT
R122,conv-49,22,2,engram v2 k=3,WRONG
R123,conv-48,99,4,engram v2 k=3,WRONG
R124,conv-44,70,4,T0R k=6,WRONG
R125,conv-44,17,1,T0R k=6,CORRECT
R126,conv-49,145,4,T0R k=6,WRONG
R127,conv-48,177,4,engram v2 k=3,WRONG
R128,conv-49,72,1,T0R k=6,WRONG
R129,conv-48,1,1,T0R k=6,CORRECT
R130,conv-49,97,4,T0R k=6,CORRECT
R131,conv-50,51,2,engram v2 k=3,WRONG
R132,conv-44,87,4,T0R k=6,CORRECT
R133,conv-48,187,4,engram v2 k=3,CORRECT
R134,conv-49,130,4,T0R k=6,WRONG
R135,conv-44,21,1,T0R k=6,CORRECT
R136,conv-44,37,2,T0R k=6,WRONG
R137,conv-48,121,4,T0R k=6,WRONG
R138,conv-44,23,1,engram v2 k=3,WRONG
R139,conv-48,170,4,T0R k=6,WRONG
R140,conv-50,125,4,engram v2 k=3,WRONG
R141,conv-44,70,4,engram v2 k=3,CORRECT
R142,conv-50,77,4,T0R k=6,WRONG
R143,conv-48,54,2,engram v2 k=3,CORRECT
R144,conv-49,90,4,engram v2 k=3,WRONG
R145,conv-47,21,2,engram v2 k=3,CORRECT
R146,conv-48,1,1,engram v2 k=3,WRONG
R147,conv-50,88,4,engram v2 k=3,WRONG
R148,conv-50,141,4,T0R k=6,WRONG
R149,conv-47,72,4,engram v2 k=3,CORRECT
R150,conv-44,18,1,T0R k=6,WRONG
R151,conv-50,42,3,engram v2 k=3,CORRECT
R152,conv-50,42,3,T0R k=6,WRONG
R153,conv-49,125,4,T0R k=6,CORRECT
R154,conv-49,32,1,engram v2 k=3,CORRECT
R155,conv-48,92,4,T0R k=6,CORRECT
R156,conv-44,74,4,engram v2 k=3,WRONG
R157,conv-50,140,4,T0R k=6,WRONG
R158,conv-50,40,1,engram v2 k=3,WRONG
R159,conv-44,46,2,engram v2 k=3,WRONG
R160,conv-47,147,4,engram v2 k=3,CORRECT
R161,conv-50,45,1,engram v2 k=3,CORRECT
R162,conv-48,65,2,engram v2 k=3,CORRECT
R163,conv-50,125,4,T0R k=6,CORRECT
R164,conv-48,177,4,T0R k=6,CORRECT
R165,conv-48,46,2,engram v2 k=3,CORRECT
R166,conv-50,156,4,engram v2 k=3,WRONG
R167,conv-47,37,2,engram v2 k=3,WRONG
R168,conv-47,56,1,T0R k=6,WRONG
R169,conv-50,88,4,T0R k=6,CORRECT
R170,conv-47,76,4,T0R k=6,CORRECT
R171,conv-48,109,4,T0R k=6,WRONG
R172,conv-48,20,1,T0R k=6,CORRECT
R173,conv-49,115,4,engram v2 k=3,CORRECT
R174,conv-49,154,4,engram v2 k=3,WRONG
R175,conv-44,22,2,engram v2 k=3,CORRECT
R176,conv-47,2,1,T0R k=6,WRONG
R177,conv-44,99,4,engram v2 k=3,CORRECT
R178,conv-49,45,2,engram v2 k=3,WRONG
R179,conv-44,47,2,T0R k=6,WRONG
R180,conv-44,28,1,engram v2 k=3,CORRECT
R181,conv-48,79,1,engram v2 k=3,WRONG
R182,conv-50,77,4,engram v2 k=3,CORRECT
R183,conv-49,39,2,T0R k=6,WRONG
R184,conv-50,64,1,T0R k=6,CORRECT
R185,conv-44,22,2,T0R k=6,WRONG
R186,conv-49,67,2,engram v2 k=3,CORRECT
R187,conv-50,19,1,engram v2 k=3,WRONG
R188,conv-47,32,2,engram v2 k=3,CORRECT
R189,conv-50,76,4,engram v2 k=3,CORRECT
R190,conv-50,18,1,T0R k=6,WRONG
R191,conv-48,170,4,engram v2 k=3,CORRECT
R192,conv-49,154,4,T0R k=6,CORRECT
R193,conv-48,14,1,T0R k=6,WRONG
R194,conv-48,188,4,T0R k=6,WRONG
R195,conv-50,0,2,T0R k=6,WRONG
R196,conv-50,89,4,T0R k=6,WRONG
R197,conv-47,81,4,engram v2 k=3,WRONG
R198,conv-48,187,4,T0R k=6,WRONG
R199,conv-49,125,4,engram v2 k=3,WRONG
R200,conv-49,6,1,T0R k=6,WRONG
R201,conv-47,36,3,T0R k=6,WRONG
R202,conv-48,129,4,T0R k=6,WRONG
R203,conv-50,43,2,T0R k=6,WRONG
R204,conv-50,64,1,engram v2 k=3,WRONG
R205,conv-44,87,4,engram v2 k=3,WRONG
R206,conv-50,40,1,T0R k=6,CORRECT
R207,conv-47,88,4,T0R k=6,CORRECT
R208,conv-48,134,4,engram v2 k=3,CORRECT
R209,conv-47,97,4,engram v2 k=3,CORRECT
R210,conv-44,72,4,engram v2 k=3,WRONG
R211,conv-48,92,4,engram v2 k=3,WRONG
R212,conv-48,102,4,T0R k=6,CORRECT
R213,conv-47,100,4,engram v2 k=3,CORRECT
R214,conv-50,152,4,engram v2 k=3,CORRECT
R215,conv-50,89,4,engram v2 k=3,CORRECT
R216,conv-48,65,2,T0R k=6,WRONG
R217,conv-48,129,4,engram v2 k=3,CORRECT
R218,conv-50,14,2,engram v2 k=3,WRONG
R219,conv-44,120,4,T0R k=6,CORRECT
R220,conv-49,130,4,engram v2 k=3,CORRECT
R221,conv-47,56,1,engram v2 k=3,CORRECT
R222,conv-47,48,2,T0R k=6,WRONG
R223,conv-48,166,4,engram v2 k=3,WRONG
R224,conv-50,131,4,T0R k=6,CORRECT
R225,conv-44,28,1,T0R k=6,WRONG
R226,conv-50,43,2,engram v2 k=3,CORRECT
R227,conv-49,54,1,T0R k=6,WRONG
R228,conv-47,123,4,engram v2 k=3,CORRECT
R229,conv-49,67,2,T0R k=6,WRONG
R230,conv-47,61,2,T0R k=6,CORRECT
R231,conv-47,126,4,engram v2 k=3,CORRECT
R232,conv-50,134,4,T0R k=6,WRONG
R233,conv-50,54,1,engram v2 k=3,WRONG
R234,conv-48,97,4,T0R k=6,CORRECT
R235,conv-49,19,3,T0R k=6,WRONG
R236,conv-44,3,1,T0R k=6,CORRECT
R237,conv-49,23,2,T0R k=6,WRONG
R238,conv-49,41,2,engram v2 k=3,CORRECT
R239,conv-49,115,4,T0R k=6,WRONG
R240,conv-49,152,4,engram v2 k=3,WRONG
R241,conv-50,118,4,engram v2 k=3,WRONG
R242,conv-48,38,2,T0R k=6,WRONG
R243,conv-50,156,4,T0R k=6,CORRECT
R244,conv-49,61,2,T0R k=6,CORRECT
R245,conv-44,47,2,engram v2 k=3,CORRECT
R246,conv-44,17,1,engram v2 k=3,WRONG
R247,conv-50,48,2,T0R k=6,WRONG
R248,conv-48,134,4,T0R k=6,WRONG
R249,conv-50,48,2,engram v2 k=3,CORRECT
R250,conv-49,138,4,T0R k=6,CORRECT
R251,conv-44,25,2,engram v2 k=3,WRONG
R252,conv-47,66,2,T0R k=6,WRONG
R253,conv-48,104,4,engram v2 k=3,CORRECT
